snapshot_date_jst,retrieved_at_jst,source_updated_at_text,source_updated_at_jst,shelter_id,web_shelter_id,municipality,shelter_name,opening_status,is_open,congestion_status,evacuee_count,address,route_search,change_type,previous_opening_status,previous_congestion_status,previous_evacuee_count,source_url,record_hash,raw_row_json,reference_match_status,reference_match_method,reference_match_score,reference_match_count,reference_no,reference_common_id,reference_common_ids,reference_facility_name,reference_address,reference_same_address_as_emergency_site,reference_other_mayor_matters,reference_accepted_persons,reference_latitude,reference_longitude,reference_all_coordinates_json,reference_notes,reference_rows_json,reference_candidates_json,reference_source_file,reference_source_sha256,portal_shelter_id,portal_capacity_persons,portal_capacity_raw,capacity_source,capacity_acquired_at_jst,capacity_match_status,capacity_match_method,capacity_match_score,portal_latitude,portal_longitude,manual_latitude,manual_longitude,manual_geocode_status,manual_geocode_method,manual_geocode_source_file,manual_geocode_source_sha256,latitude,longitude,coordinate_source,coordinate_method,coordinate_status
2026-08-04,2026-08-04T02:17:48+09:00,26/08/04 02:17時点の避難所状況の一覧です。,2026-08-04T02:17+09:00,ref:E4321200026111,a1b1d9a31fe3fb178efc,上天草市,大矢野総合体育館,開設,true,平常,,上天草市大矢野町中2289,検索,unchanged,開設,平常,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,135da5f83fbd1b98ccad2ee1475bfa452d5e06ad8541cd80f519c8af43688119,"{""ルート検索"": ""検索"", ""住所"": ""上天草市大矢野町中2289"", ""市町村"": ""上天草市"", ""混雑状況"": ""平常"", ""避難所名"": ""大矢野総合体育館"", ""開設状況"": ""開設""}",matched,exact_name_address,1.000,1,851,E4321200026111,E4321200026111,大矢野総合体育館,熊本県上天草市大矢野町中2289,1,,,32.573336,130.422964,"[{""共通ID"": ""E4321200026111"", ""経度"": ""130.422964"", ""緯度"": ""32.573336""}]",,"[{""NO"": ""851"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県上天草市大矢野町中2289"", ""備考"": """", ""共通ID"": ""E4321200026111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""大矢野総合体育館"", ""経度"": ""130.422964"", ""緯度"": ""32.573336""}]",[],reference/43000_1.csv,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,00001081,1152,1152,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,exact_municipality_name_address,1.000,32.573392,130.422789,,,unmatched,manual_no_match,,,32.573336,130.422964,gsi_reference,reference_latitude_longitude,complete
2026-08-04,2026-08-04T02:17:48+09:00,26/08/04 02:17時点の避難所状況の一覧です。,2026-08-04T02:17+09:00,ref:E4321200043111,557ac899049fe7e92c88,上天草市,姫戸統括支所(姫戸地域振興センター),開設,true,平常,,上天草市姫戸町姫浦3384-5,検索,unchanged,開設,平常,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,4c7cd9e0f262d33f7ab2d8ad5e938d40512a5ef3891fe95737800705b5082bd6,"{""ルート検索"": ""検索"", ""住所"": ""上天草市姫戸町姫浦3384-5"", ""市町村"": ""上天草市"", ""混雑状況"": ""平常"", ""避難所名"": ""姫戸統括支所(姫戸地域振興センター)"", ""開設状況"": ""開設""}",matched,exact_name_address,1.000,1,861,E4321200043111,E4321200043111,姫戸統括支所(姫戸地域振興センター),熊本県上天草市姫戸町姫浦3384-5,1,,,32.447271,130.41633,"[{""共通ID"": ""E4321200043111"", ""経度"": ""130.41633"", ""緯度"": ""32.447271""}]",,"[{""NO"": ""861"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県上天草市姫戸町姫浦3384-5"", ""備考"": """", ""共通ID"": ""E4321200043111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""姫戸統括支所(姫戸地域振興センター)"", ""経度"": ""130.41633"", ""緯度"": ""32.447271""}]",[],reference/43000_1.csv,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,00001107,88,88,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,exact_municipality_name_address,1.000,32.447261,130.416261,,,unmatched,manual_no_match,,,32.447271,130.41633,gsi_reference,reference_latitude_longitude,complete
2026-08-04,2026-08-04T02:17:48+09:00,26/08/04 02:17時点の避難所状況の一覧です。,2026-08-04T02:17+09:00,web:e42624d1160f6df2b798,e42624d1160f6df2b798,上天草市,市役所松島庁舎,開設,true,平常,,上天草市松島町合津7915-1,検索,unchanged,開設,平常,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,02937592feed8e0e95eecceb48ad5aeca73981adcc9c5b4fb962db8d0c09f7b0,"{""ルート検索"": ""検索"", ""住所"": ""上天草市松島町合津7915-1"", ""市町村"": ""上天草市"", ""混雑状況"": ""平常"", ""避難所名"": ""市役所松島庁舎"", ""開設状況"": ""開設""}",unmatched,no_candidate,,0,,,,,,,,,,,[],,[],[],reference/43000_1.csv,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,00001092,104,104,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,exact_municipality_name_address,1.000,32.518613,130.432593,32.51827884,130.432705,matched,manual_shelter_id,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c,32.51827884,130.432705,manual_geocoding,manual_shelter_id,complete
2026-08-04,2026-08-04T02:17:48+09:00,26/08/04 02:17時点の避難所状況の一覧です。,2026-08-04T02:17+09:00,ref:E4321200058111,07aaebcf963024c2e075,上天草市,樋島老人福祉センター(樋島出張所),開設,true,平常,,上天草市龍ヶ岳町樋島2-11,検索,unchanged,開設,平常,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,3224207d032bd207795458938c622592aa1860a972f6cb7cf6c92b6ee6e60e53,"{""ルート検索"": ""検索"", ""住所"": ""上天草市龍ヶ岳町樋島2-11"", ""市町村"": ""上天草市"", ""混雑状況"": ""平常"", ""避難所名"": ""樋島老人福祉センター(樋島出張所)"", ""開設状況"": ""開設""}",matched,exact_name_municipality,0.990,1,865,E4321200058111,E4321200058111,樋島老人福祉センター(樋島出張所),熊本県上天草市龍ケ岳町樋島2-11,1,,,32.395607,130.411461,"[{""共通ID"": ""E4321200058111"", ""経度"": ""130.411461"", ""緯度"": ""32.395607""}]",,"[{""NO"": ""865"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県上天草市龍ケ岳町樋島2-11"", ""備考"": """", ""共通ID"": ""E4321200058111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""樋島老人福祉センター(樋島出張所)"", ""経度"": ""130.411461"", ""緯度"": ""32.395607""}]",[],reference/43000_1.csv,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,00001125,171,171,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,exact_municipality_name_address,1.000,32.395546,130.411292,,,unmatched,manual_no_match,,,32.395607,130.411461,gsi_reference,reference_latitude_longitude,complete
2026-08-04,2026-08-04T02:17:48+09:00,26/08/04 02:17時点の避難所状況の一覧です。,2026-08-04T02:17+09:00,web:1b6fa2f886fba25b241b,1b6fa2f886fba25b241b,八代市,二見コミュニティセンター,開設,true,---,,八代市二見下大野町2432-1,検索,unchanged,開設,---,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,29cba61ed0ef8f6da5a622e00d7933c2bb29a96816d5805c61fae49a2336f603,"{""ルート検索"": ""検索"", ""住所"": ""八代市二見下大野町2432-1"", ""市町村"": ""八代市"", ""混雑状況"": ""---"", ""避難所名"": ""二見コミュニティセンター"", ""開設状況"": ""開設""}",unmatched,fuzzy_below_threshold,0.761,0,,,,,,,,,,,[],,[],"[{""NO"": ""1224"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市昭和明徴町730-1"", ""備考"": """", ""共通ID"": ""E4320200054111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""昭和コミュニティセンター"", ""経度"": ""130.6036164"", ""緯度"": ""32.55967579""}, {""NO"": ""1238"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市泉町栗木5866"", ""備考"": """", ""共通ID"": ""E4320200081111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""泉コミュニティセンター"", ""経度"": ""130.808105877186"", ""緯度"": ""32.5457986916214""}, {""NO"": ""1217"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市古城町2259"", ""備考"": """", ""共通ID"": ""E4320200033111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""麦島コミュニティセンター"", ""経度"": ""130.5926186"", ""緯度"": ""32.49742503""}]",reference/43000_1.csv,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,00000695,200,200,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,exact_municipality_name_address,1.000,32.407212,130.558888,32.40723164,130.5588755,matched,manual_shelter_id,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c,32.40723164,130.5588755,manual_geocoding,manual_shelter_id,complete
2026-08-04,2026-08-04T02:17:48+09:00,26/08/04 02:17時点の避難所状況の一覧です。,2026-08-04T02:17+09:00,web:fb3044a2b79afc80e386,fb3044a2b79afc80e386,八代市,今泉地区公民館,開設,true,平常,,熊本県八代市坂本町西部ろ1292番地,検索,unchanged,開設,平常,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,3c1cd08c93a61d23a5fd22b7ac4b69d09e41124b377c9733a2284b553cd5c6f5,"{""ルート検索"": ""検索"", ""住所"": ""熊本県八代市坂本町西部ろ1292番地"", ""市町村"": ""八代市"", ""混雑状況"": ""平常"", ""避難所名"": ""今泉地区公民館"", ""開設状況"": ""開設""}",unmatched,no_candidate,,0,,,,,,,,,,,[],,[],[],reference/43000_1.csv,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,00002299,40,40,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,exact_municipality_name_address,1.000,32.470608472097545,130.63879203022225,32.47076399,130.6387398,matched,manual_shelter_id,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c,32.47076399,130.6387398,manual_geocoding,manual_shelter_id,complete
2026-08-04,2026-08-04T02:17:48+09:00,26/08/04 02:17時点の避難所状況の一覧です。,2026-08-04T02:17+09:00,web:78670aceb0f1a33db766,78670aceb0f1a33db766,八代市,代陽コミュニティセンター,開設,true,混雑,,八代市西松江城町2-18,検索,unchanged,開設,混雑,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,dfa109ea9043c5690cc95f5d71432ec54576703fc7d44ec10f1aafce3aca5f01,"{""ルート検索"": ""検索"", ""住所"": ""八代市西松江城町2-18"", ""市町村"": ""八代市"", ""混雑状況"": ""混雑"", ""避難所名"": ""代陽コミュニティセンター"", ""開設状況"": ""開設""}",unmatched,fuzzy_below_threshold,0.781,0,,,,,,,,,,,[],,[],"[{""NO"": ""1238"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市泉町栗木5866"", ""備考"": """", ""共通ID"": ""E4320200081111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""泉コミュニティセンター"", ""経度"": ""130.808105877186"", ""緯度"": ""32.5457986916214""}, {""NO"": ""1217"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市古城町2259"", ""備考"": """", ""共通ID"": ""E4320200033111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""麦島コミュニティセンター"", ""経度"": ""130.5926186"", ""緯度"": ""32.49742503""}, {""NO"": ""1224"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市昭和明徴町730-1"", ""備考"": """", ""共通ID"": ""E4320200054111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""昭和コミュニティセンター"", ""経度"": ""130.6036164"", ""緯度"": ""32.55967579""}]",reference/43000_1.csv,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,00000694,200,200,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,exact_municipality_name_address,1.000,32.507089,130.597324,32.50711793,130.597334,matched,manual_shelter_id,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c,32.50711793,130.597334,manual_geocoding,manual_shelter_id,complete
2026-08-04,2026-08-04T02:17:48+09:00,26/08/04 02:17時点の避難所状況の一覧です。,2026-08-04T02:17+09:00,web:bb62aded1e4ed62ec037,bb62aded1e4ed62ec037,八代市,八代コミュニティセンター,開設,true,---,,八代市新地町6-3,検索,unchanged,開設,---,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,6988c8e7f85619e417b519a63497e30999cc8642769387cfe4027f18d15868dc,"{""ルート検索"": ""検索"", ""住所"": ""八代市新地町6-3"", ""市町村"": ""八代市"", ""混雑状況"": ""---"", ""避難所名"": ""八代コミュニティセンター"", ""開設状況"": ""開設""}",unmatched,fuzzy_below_threshold,0.799,0,,,,,,,,,,,[],,[],"[{""NO"": ""1229"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市上野町1193-1"", ""備考"": """", ""共通ID"": ""E4320200059111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""八千把コミュニティセンター"", ""経度"": ""130.6141942"", ""緯度"": ""32.51841666""}, {""NO"": ""1238"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市泉町栗木5866"", ""備考"": """", ""共通ID"": ""E4320200081111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""泉コミュニティセンター"", ""経度"": ""130.808105877186"", ""緯度"": ""32.5457986916214""}, {""NO"": ""1224"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市昭和明徴町730-1"", ""備考"": """", ""共通ID"": ""E4320200054111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""昭和コミュニティセンター"", ""経度"": ""130.6036164"", ""緯度"": ""32.55967579""}]",reference/43000_1.csv,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,00000699,200,200,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,exact_municipality_name_address,1.000,32.509161,130.590519,32.50916831,130.5905641,matched,manual_shelter_id,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c,32.50916831,130.5905641,manual_geocoding,manual_shelter_id,complete
2026-08-04,2026-08-04T02:17:48+09:00,26/08/04 02:17時点の避難所状況の一覧です。,2026-08-04T02:17+09:00,ref:E4320200119111,b7e4a2ad78aafa90a9eb,八代市,八代トヨオカ地建アリーナ(総合体育館),開設,true,---,,八代市緑町11-1,検索,unchanged,開設,---,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,0f1a55c8ea508cd5722549916184ce0f74df13b080198c2984d84be879a8427c,"{""ルート検索"": ""検索"", ""住所"": ""八代市緑町11-1"", ""市町村"": ""八代市"", ""混雑状況"": ""---"", ""避難所名"": ""八代トヨオカ地建アリーナ(総合体育館)"", ""開設状況"": ""開設""}",matched,exact_name_address,1.000,1,1259,E4320200119111,E4320200119111,八代トヨオカ地建アリーナ(総合体育館),熊本県八代市緑町11-1,1,,,32.50473737,130.6105499,"[{""共通ID"": ""E4320200119111"", ""経度"": ""130.6105499"", ""緯度"": ""32.50473737""}]",,"[{""NO"": ""1259"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市緑町11-1"", ""備考"": """", ""共通ID"": ""E4320200119111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""八代トヨオカ地建アリーナ(総合体育館)"", ""経度"": ""130.6105499"", ""緯度"": ""32.50473737""}]",[],reference/43000_1.csv,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,00000669,3000,3000,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,exact_municipality_name_address,1.000,32.504782,130.610442,,,unmatched,manual_no_match,,,32.50473737,130.6105499,gsi_reference,reference_latitude_longitude,complete
2026-08-04,2026-08-04T02:17:48+09:00,26/08/04 02:17時点の避難所状況の一覧です。,2026-08-04T02:17+09:00,web:452a87fd3b7d540aee9a,452a87fd3b7d540aee9a,八代市,八代小学校,開設,true,---,,八代市新地町4-1,検索,unchanged,開設,---,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,e492038130ba72be7bf57581ebd7bba2c9cd7bf4afbaf0dbd78cb1c73b167f36,"{""ルート検索"": ""検索"", ""住所"": ""八代市新地町4-1"", ""市町村"": ""八代市"", ""混雑状況"": ""---"", ""避難所名"": ""八代小学校"", ""開設状況"": ""開設""}",unmatched,no_candidate,,0,,,,,,,,,,,[],,[],[],reference/43000_1.csv,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,00000718,1120,1120,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,exact_municipality_name_address,1.000,32.509678,130.591491,32.50936386,130.5914653,matched,manual_shelter_id,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c,32.50936386,130.5914653,manual_geocoding,manual_shelter_id,complete
