snapshot_date_jst,retrieved_at_jst,source_updated_at_text,source_updated_at_jst,shelter_id,web_shelter_id,municipality,shelter_name,opening_status,is_open,congestion_status,evacuee_count,address,route_search,change_type,previous_opening_status,previous_congestion_status,previous_evacuee_count,source_url,record_hash,raw_row_json,reference_match_status,reference_match_method,reference_match_score,reference_match_count,reference_no,reference_common_id,reference_common_ids,reference_facility_name,reference_address,reference_same_address_as_emergency_site,reference_other_mayor_matters,reference_accepted_persons,reference_latitude,reference_longitude,reference_all_coordinates_json,reference_notes,reference_rows_json,reference_candidates_json,reference_source_file,reference_source_sha256,portal_shelter_id,portal_capacity_persons,portal_capacity_raw,capacity_source,capacity_acquired_at_jst,capacity_match_status,capacity_match_method,capacity_match_score,portal_latitude,portal_longitude
2026-07-29,2026-07-29T23:54:02+09:00,26/07/29 23:54時点の避難所状況の一覧です。,2026-07-29T23:54+09:00,web:92ac15ea64f21af2c9fa,92ac15ea64f21af2c9fa,熊本市,九州動物学院【ペット避難場所】,開設,true,不明,,熊本県熊本市中央区本荘6丁目16-34,検索,,,,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=14-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,54d30bbe8300f1d7f206dd611b812d3e4db7f13b63640163e98cdbe88e5e0223,"{""ルート検索"": ""検索"", ""住所"": ""熊本県熊本市中央区本荘6丁目16-34"", ""市町村"": ""熊本市"", ""混雑状況"": ""不明"", ""避難所名"": ""九州動物学院【ペット避難場所】"", ""開設状況"": ""開設""}",unmatched,no_candidate,,0,,,,,,,,,,,[],,[],[],reference/43000_1.csv,dd6686fa000c3e720180ba96d02aacff987aec1bba3c9bc69a5867fc0089d10d,00002251,,0,kumamoto_portal_map,2026-07-31T09:18:43+09:00,matched,exact_municipality_name_address,1.000,32.7922059,130.7046784
2026-07-29,2026-07-29T23:54:02+09:00,26/07/29 23:54時点の避難所状況の一覧です。,2026-07-29T23:54+09:00,web:0eec9dba2b46c492c406,0eec9dba2b46c492c406,熊本市,東海大学熊本キャンパス・付属熊本星翔高等学校,開設,true,不明,,熊本県熊本市東区渡鹿9丁目1-1,検索,,,,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=14-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,64b6f117baa6c0ad221329e98d4f791e1b110c91dec2ba4fc371d6e5c4097523,"{""ルート検索"": ""検索"", ""住所"": ""熊本県熊本市東区渡鹿9丁目1-1"", ""市町村"": ""熊本市"", ""混雑状況"": ""不明"", ""避難所名"": ""東海大学熊本キャンパス・付属熊本星翔高等学校"", ""開設状況"": ""開設""}",unmatched,no_candidate,,0,,,,,,,,,,,[],,[],[],reference/43000_1.csv,dd6686fa000c3e720180ba96d02aacff987aec1bba3c9bc69a5867fc0089d10d,00002295,,0,kumamoto_portal_map,2026-07-31T09:18:43+09:00,matched,exact_municipality_name_address,1.000,32.8117569,130.7430407
2026-07-29,2026-07-29T23:54:02+09:00,26/07/29 23:54時点の避難所状況の一覧です。,2026-07-29T23:54+09:00,web:a8686c9b3a353a1462ae,a8686c9b3a353a1462ae,熊本市,水前寺競技場【ペット避難場所】,開設,true,不明,,熊本市中央区水前寺5-23-3,検索,,,,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=14-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,663108aacb8611c9db252fd84716b87820c184d567f55e71ed62e2b88a201a0e,"{""ルート検索"": ""検索"", ""住所"": ""熊本市中央区水前寺5-23-3"", ""市町村"": ""熊本市"", ""混雑状況"": ""不明"", ""避難所名"": ""水前寺競技場【ペット避難場所】"", ""開設状況"": ""開設""}",unmatched,no_candidate,,0,,,,,,,,,,,[],,[],[],reference/43000_1.csv,dd6686fa000c3e720180ba96d02aacff987aec1bba3c9bc69a5867fc0089d10d,00002252,,0,kumamoto_portal_map,2026-07-31T09:18:43+09:00,matched,exact_municipality_name_address,1.000,32.7944344,130.7406853
2026-07-29,2026-07-29T23:54:02+09:00,26/07/29 23:54時点の避難所状況の一覧です。,2026-07-29T23:54+09:00,web:68ebba8ceae244e886a8,68ebba8ceae244e886a8,熊本市,済々黌高校,開設,true,不明,,熊本県熊本市中央区黒髪2丁目22-1,検索,,,,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=14-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,0b0c61a439cabc260c17fc838212353a657182618df28cce355a6731ffe28f07,"{""ルート検索"": ""検索"", ""住所"": ""熊本県熊本市中央区黒髪2丁目22-1"", ""市町村"": ""熊本市"", ""混雑状況"": ""不明"", ""避難所名"": ""済々黌高校"", ""開設状況"": ""開設""}",unmatched,no_candidate,,0,,,,,,,,,,,[],,[],[],reference/43000_1.csv,dd6686fa000c3e720180ba96d02aacff987aec1bba3c9bc69a5867fc0089d10d,00000186,,0,kumamoto_portal_map,2026-07-31T09:18:43+09:00,matched,exact_municipality_name_address,1.000,32.817399,130.722884
2026-07-29,2026-07-29T23:54:02+09:00,26/07/29 23:54時点の避難所状況の一覧です。,2026-07-29T23:54+09:00,web:ea37c810630367993fe2,ea37c810630367993fe2,熊本市,熊本刑務所,開設,true,不明,,熊本県熊本市中央区渡鹿7丁目12ー1,検索,,,,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=14-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,a1919a25ddd454b387cdea2a090925c5833d4d4a7eec19f75ed2fd76ddd3d451,"{""ルート検索"": ""検索"", ""住所"": ""熊本県熊本市中央区渡鹿7丁目12ー1"", ""市町村"": ""熊本市"", ""混雑状況"": ""不明"", ""避難所名"": ""熊本刑務所"", ""開設状況"": ""開設""}",unmatched,no_candidate,,0,,,,,,,,,,,[],,[],[],reference/43000_1.csv,dd6686fa000c3e720180ba96d02aacff987aec1bba3c9bc69a5867fc0089d10d,00002256,,0,kumamoto_portal_map,2026-07-31T09:18:43+09:00,matched,exact_municipality_name_address,1.000,32.809403837771136,130.7386300762243
2026-07-29,2026-07-29T23:54:02+09:00,26/07/29 23:54時点の避難所状況の一覧です。,2026-07-29T23:54+09:00,web:9db5a91275ae29313c40,9db5a91275ae29313c40,熊本市,熊本商業高校,開設,true,不明,,熊本県熊本市中央区神水1丁目1-2,検索,,,,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=14-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,214c0154aea6c17cc1640d6b8689f1771f8c5899572e7c7c947122bb8d93b32f,"{""ルート検索"": ""検索"", ""住所"": ""熊本県熊本市中央区神水1丁目1-2"", ""市町村"": ""熊本市"", ""混雑状況"": ""不明"", ""避難所名"": ""熊本商業高校"", ""開設状況"": ""開設""}",unmatched,no_candidate,,0,,,,,,,,,,,[],,[],[],reference/43000_1.csv,dd6686fa000c3e720180ba96d02aacff987aec1bba3c9bc69a5867fc0089d10d,00000188,,0,kumamoto_portal_map,2026-07-31T09:18:43+09:00,matched,exact_municipality_name_address,1.000,32.786485,130.740412
2026-07-29,2026-07-29T23:54:02+09:00,26/07/29 23:54時点の避難所状況の一覧です。,2026-07-29T23:54+09:00,web:e058f968109ebad6cc37,e058f968109ebad6cc37,熊本市,熊本大学大江体育館,開設,true,不明,,熊本県熊本市中央区大江本町5-1,検索,,,,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=14-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,46f19617f1ee06d0405f89adec46c3f8a457c24ec9a9efb60836acae9f9456e3,"{""ルート検索"": ""検索"", ""住所"": ""熊本県熊本市中央区大江本町5-1"", ""市町村"": ""熊本市"", ""混雑状況"": ""不明"", ""避難所名"": ""熊本大学大江体育館"", ""開設状況"": ""開設""}",unmatched,no_candidate,,0,,,,,,,,,,,[],,[],[],reference/43000_1.csv,dd6686fa000c3e720180ba96d02aacff987aec1bba3c9bc69a5867fc0089d10d,00000183,,0,kumamoto_portal_map,2026-07-31T09:18:43+09:00,matched,exact_municipality_name_address,1.000,32.794526,130.720868
2026-07-29,2026-07-29T23:54:02+09:00,26/07/29 23:54時点の避難所状況の一覧です。,2026-07-29T23:54+09:00,web:e1a7830548efc400ddea,e1a7830548efc400ddea,熊本市,熊本大学本荘体育館,開設,true,不明,,熊本県熊本市中央区九品寺4丁目24番1号,検索,,,,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=14-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,695f83a3a99a3cd99d97a541b41d9cfd3f88052b7a865026ac1ebac29fc31fb6,"{""ルート検索"": ""検索"", ""住所"": ""熊本県熊本市中央区九品寺4丁目24番1号"", ""市町村"": ""熊本市"", ""混雑状況"": ""不明"", ""避難所名"": ""熊本大学本荘体育館"", ""開設状況"": ""開設""}",unmatched,no_candidate,,0,,,,,,,,,,,[],,[],[],reference/43000_1.csv,dd6686fa000c3e720180ba96d02aacff987aec1bba3c9bc69a5867fc0089d10d,00000187,,0,kumamoto_portal_map,2026-07-31T09:18:43+09:00,matched,exact_municipality_name_address,1.000,32.792645,130.714441
2026-07-29,2026-07-29T23:54:02+09:00,26/07/29 23:54時点の避難所状況の一覧です。,2026-07-29T23:54+09:00,web:94a671499e0adc80a9c5,94a671499e0adc80a9c5,熊本市,熊本学園大学,開設,true,不明,,熊本県熊本市中央区大江2丁目5-1,検索,,,,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=14-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,0d8d2ee67896a13994b68831f0fd241ad11be6034210ab649b934fdc42c79d31,"{""ルート検索"": ""検索"", ""住所"": ""熊本県熊本市中央区大江2丁目5-1"", ""市町村"": ""熊本市"", ""混雑状況"": ""不明"", ""避難所名"": ""熊本学園大学"", ""開設状況"": ""開設""}",unmatched,no_candidate,,0,,,,,,,,,,,[],,[],[],reference/43000_1.csv,dd6686fa000c3e720180ba96d02aacff987aec1bba3c9bc69a5867fc0089d10d,00000184,,0,kumamoto_portal_map,2026-07-31T09:18:43+09:00,matched,exact_municipality_name_address,1.000,32.804372,130.72944
2026-07-29,2026-07-29T23:54:02+09:00,26/07/29 23:54時点の避難所状況の一覧です。,2026-07-29T23:54+09:00,web:d54cb7159e4318be2070,d54cb7159e4318be2070,熊本市,熊本工業高校,開設,true,不明,,熊本県熊本市中央区上京塚町5-1,検索,,,,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=14-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,079667ec1b0ac12a512898861e95be90cbca5c764e571aa96b84745a93e324bc,"{""ルート検索"": ""検索"", ""住所"": ""熊本県熊本市中央区上京塚町5-1"", ""市町村"": ""熊本市"", ""混雑状況"": ""不明"", ""避難所名"": ""熊本工業高校"", ""開設状況"": ""開設""}",unmatched,no_candidate,,0,,,,,,,,,,,[],,[],[],reference/43000_1.csv,dd6686fa000c3e720180ba96d02aacff987aec1bba3c9bc69a5867fc0089d10d,00002264,,0,kumamoto_portal_map,2026-07-31T09:18:43+09:00,matched,exact_municipality_name_address,1.000,32.792393,130.747075
