snapshot_date_jst,retrieved_at_jst,source_updated_at_text,source_updated_at_jst,shelter_id,web_shelter_id,municipality,shelter_name,opening_status,is_open,congestion_status,evacuee_count,address,route_search,change_type,previous_opening_status,previous_congestion_status,previous_evacuee_count,source_url,record_hash,raw_row_json,reference_match_status,reference_match_method,reference_match_score,reference_match_count,reference_no,reference_common_id,reference_common_ids,reference_facility_name,reference_address,reference_same_address_as_emergency_site,reference_other_mayor_matters,reference_accepted_persons,reference_latitude,reference_longitude,reference_all_coordinates_json,reference_notes,reference_rows_json,reference_candidates_json,reference_source_file,reference_source_sha256,portal_shelter_id,portal_capacity_persons,portal_capacity_raw,capacity_source,capacity_acquired_at_jst,capacity_match_status,capacity_match_method,capacity_match_score,portal_latitude,portal_longitude,manual_latitude,manual_longitude,manual_geocode_status,manual_geocode_method,manual_geocode_source_file,manual_geocode_source_sha256,latitude,longitude,coordinate_source,coordinate_method,coordinate_status
2026-08-30,2026-08-30T03:23:27+09:00,26/08/30 03:23時点の避難所状況の一覧です。,2026-08-30T03:23+09:00,web:1b6fa2f886fba25b241b,1b6fa2f886fba25b241b,八代市,二見コミュニティセンター,開設,true,---,,八代市二見下大野町2432-1,検索,,,,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,29cba61ed0ef8f6da5a622e00d7933c2bb29a96816d5805c61fae49a2336f603,"{""ルート検索"": ""検索"", ""住所"": ""八代市二見下大野町2432-1"", ""市町村"": ""八代市"", ""混雑状況"": ""---"", ""避難所名"": ""二見コミュニティセンター"", ""開設状況"": ""開設""}",unmatched,fuzzy_below_threshold,0.761,0,,,,,,,,,,,[],,[],"[{""NO"": ""1224"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市昭和明徴町730-1"", ""備考"": """", ""共通ID"": ""E4320200054111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""昭和コミュニティセンター"", ""経度"": ""130.6036164"", ""緯度"": ""32.55967579""}, {""NO"": ""1238"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市泉町栗木5866"", ""備考"": """", ""共通ID"": ""E4320200081111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""泉コミュニティセンター"", ""経度"": ""130.808105877186"", ""緯度"": ""32.5457986916214""}, {""NO"": ""1217"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市古城町2259"", ""備考"": """", ""共通ID"": ""E4320200033111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""麦島コミュニティセンター"", ""経度"": ""130.5926186"", ""緯度"": ""32.49742503""}]",reference/43000_1.csv,a04f16cf2e53aec5caadda9c0d925342964483a45870933ec9882c48e957ea60,00000695,200,200,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,portal_shelter_id,1.000,32.407212,130.558888,32.40723164,130.5588755,matched,manual_shelter_id,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c,32.40723164,130.5588755,manual_geocoding,manual_shelter_id,complete
2026-08-30,2026-08-30T03:23:27+09:00,26/08/30 03:23時点の避難所状況の一覧です。,2026-08-30T03:23+09:00,web:78670aceb0f1a33db766,78670aceb0f1a33db766,八代市,代陽コミュニティセンター,開設,true,平常,,八代市西松江城町2-18,検索,,,,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,e3abf37f92a54c2eb95870c54c4275825e3156667958048c2827730c664c95fa,"{""ルート検索"": ""検索"", ""住所"": ""八代市西松江城町2-18"", ""市町村"": ""八代市"", ""混雑状況"": ""平常"", ""避難所名"": ""代陽コミュニティセンター"", ""開設状況"": ""開設""}",unmatched,fuzzy_below_threshold,0.781,0,,,,,,,,,,,[],,[],"[{""NO"": ""1238"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市泉町栗木5866"", ""備考"": """", ""共通ID"": ""E4320200081111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""泉コミュニティセンター"", ""経度"": ""130.808105877186"", ""緯度"": ""32.5457986916214""}, {""NO"": ""1217"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市古城町2259"", ""備考"": """", ""共通ID"": ""E4320200033111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""麦島コミュニティセンター"", ""経度"": ""130.5926186"", ""緯度"": ""32.49742503""}, {""NO"": ""1224"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市昭和明徴町730-1"", ""備考"": """", ""共通ID"": ""E4320200054111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""昭和コミュニティセンター"", ""経度"": ""130.6036164"", ""緯度"": ""32.55967579""}]",reference/43000_1.csv,a04f16cf2e53aec5caadda9c0d925342964483a45870933ec9882c48e957ea60,00000694,200,200,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,portal_shelter_id,1.000,32.507089,130.597324,32.50711793,130.597334,matched,manual_shelter_id,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c,32.50711793,130.597334,manual_geocoding,manual_shelter_id,complete
2026-08-30,2026-08-30T03:23:27+09:00,26/08/30 03:23時点の避難所状況の一覧です。,2026-08-30T03:23+09:00,web:bb62aded1e4ed62ec037,bb62aded1e4ed62ec037,八代市,八代コミュニティセンター,開設,true,---,,八代市新地町6-3,検索,,,,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,6988c8e7f85619e417b519a63497e30999cc8642769387cfe4027f18d15868dc,"{""ルート検索"": ""検索"", ""住所"": ""八代市新地町6-3"", ""市町村"": ""八代市"", ""混雑状況"": ""---"", ""避難所名"": ""八代コミュニティセンター"", ""開設状況"": ""開設""}",unmatched,fuzzy_below_threshold,0.799,0,,,,,,,,,,,[],,[],"[{""NO"": ""1229"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市上野町1193-1"", ""備考"": """", ""共通ID"": ""E4320200059111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""八千把コミュニティセンター"", ""経度"": ""130.6141942"", ""緯度"": ""32.51841666""}, {""NO"": ""1238"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市泉町栗木5866"", ""備考"": """", ""共通ID"": ""E4320200081111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""泉コミュニティセンター"", ""経度"": ""130.808105877186"", ""緯度"": ""32.5457986916214""}, {""NO"": ""1224"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市昭和明徴町730-1"", ""備考"": """", ""共通ID"": ""E4320200054111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""昭和コミュニティセンター"", ""経度"": ""130.6036164"", ""緯度"": ""32.55967579""}]",reference/43000_1.csv,a04f16cf2e53aec5caadda9c0d925342964483a45870933ec9882c48e957ea60,00000699,200,200,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,portal_shelter_id,1.000,32.509161,130.590519,32.50916831,130.5905641,matched,manual_shelter_id,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c,32.50916831,130.5905641,manual_geocoding,manual_shelter_id,complete
2026-08-30,2026-08-30T03:23:27+09:00,26/08/30 03:23時点の避難所状況の一覧です。,2026-08-30T03:23+09:00,web:e764e8f9fcbea6a05c8a,e764e8f9fcbea6a05c8a,八代市,千丁コミュニティセンター,開設,true,---,,八代市千丁町新牟田1434,検索,,,,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,849f0940c9258b54148e6a5153b4e14823b6868ca6752f296be612ad7387f6b3,"{""ルート検索"": ""検索"", ""住所"": ""八代市千丁町新牟田1434"", ""市町村"": ""八代市"", ""混雑状況"": ""---"", ""避難所名"": ""千丁コミュニティセンター"", ""開設状況"": ""開設""}",unmatched,fuzzy_below_threshold,0.799,0,,,,,,,,,,,[],,[],"[{""NO"": ""1229"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市上野町1193-1"", ""備考"": """", ""共通ID"": ""E4320200059111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""八千把コミュニティセンター"", ""経度"": ""130.6141942"", ""緯度"": ""32.51841666""}, {""NO"": ""1238"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市泉町栗木5866"", ""備考"": """", ""共通ID"": ""E4320200081111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""泉コミュニティセンター"", ""経度"": ""130.808105877186"", ""緯度"": ""32.5457986916214""}, {""NO"": ""1224"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市昭和明徴町730-1"", ""備考"": """", ""共通ID"": ""E4320200054111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""昭和コミュニティセンター"", ""経度"": ""130.6036164"", ""緯度"": ""32.55967579""}]",reference/43000_1.csv,a04f16cf2e53aec5caadda9c0d925342964483a45870933ec9882c48e957ea60,00000705,100,100,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,portal_shelter_id,1.000,32.535033,130.633638,32.53505565,130.6336801,matched,manual_shelter_id,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c,32.53505565,130.6336801,manual_geocoding,manual_shelter_id,complete
2026-08-30,2026-08-30T03:23:27+09:00,26/08/30 03:23時点の避難所状況の一覧です。,2026-08-30T03:23+09:00,web:e79d19687486af4f979e,e79d19687486af4f979e,八代市,坂本コミュニティセンター,開設,true,平常,,八代市坂本町坂本4161-1,検索,,,,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,9f0e1e81e4ab1837f21b52428b106125de3032a51a4f07e45d225e1376172649,"{""ルート検索"": ""検索"", ""住所"": ""八代市坂本町坂本4161-1"", ""市町村"": ""八代市"", ""混雑状況"": ""平常"", ""避難所名"": ""坂本コミュニティセンター"", ""開設状況"": ""開設""}",unmatched,fuzzy_below_threshold,0.775,0,,,,,,,,,,,[],,[],"[{""NO"": ""1238"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市泉町栗木5866"", ""備考"": """", ""共通ID"": ""E4320200081111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""泉コミュニティセンター"", ""経度"": ""130.808105877186"", ""緯度"": ""32.5457986916214""}, {""NO"": ""1224"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市昭和明徴町730-1"", ""備考"": """", ""共通ID"": ""E4320200054111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""昭和コミュニティセンター"", ""経度"": ""130.6036164"", ""緯度"": ""32.55967579""}, {""NO"": ""1258"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市本野町505"", ""備考"": """", ""共通ID"": ""E4320200118111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""高田コミュニティセンター"", ""経度"": ""130.6167216"", ""緯度"": ""32.48708486""}]",reference/43000_1.csv,a04f16cf2e53aec5caadda9c0d925342964483a45870933ec9882c48e957ea60,00000676,248,248,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,portal_shelter_id,1.000,32.43511,130.65725,32.43640245,130.6579595,matched,manual_shelter_id,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c,32.43640245,130.6579595,manual_geocoding,manual_shelter_id,complete
2026-08-30,2026-08-30T03:23:27+09:00,26/08/30 03:23時点の避難所状況の一覧です。,2026-08-30T03:23+09:00,web:c29df28aaca34a945e9a,c29df28aaca34a945e9a,八代市,太田郷コミュニティセンター,開設,true,---,,八代市井上町601-1,検索,,,,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,e96297cb23590b2440d641d1600c1d94328149dbbaf121cf05bf6ba43d1350ec,"{""ルート検索"": ""検索"", ""住所"": ""八代市井上町601-1"", ""市町村"": ""八代市"", ""混雑状況"": ""---"", ""避難所名"": ""太田郷コミュニティセンター"", ""開設状況"": ""開設""}",unmatched,fuzzy_below_threshold,0.803,0,,,,,,,,,,,[],,[],"[{""NO"": ""1258"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市本野町505"", ""備考"": """", ""共通ID"": ""E4320200118111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""高田コミュニティセンター"", ""経度"": ""130.6167216"", ""緯度"": ""32.48708486""}, {""NO"": ""1238"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市泉町栗木5866"", ""備考"": """", ""共通ID"": ""E4320200081111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""泉コミュニティセンター"", ""経度"": ""130.808105877186"", ""緯度"": ""32.5457986916214""}]",reference/43000_1.csv,a04f16cf2e53aec5caadda9c0d925342964483a45870933ec9882c48e957ea60,00000682,300,300,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,portal_shelter_id,1.000,32.515254,130.630074,32.51526673,130.6300121,matched,manual_shelter_id,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c,32.51526673,130.6300121,manual_geocoding,manual_shelter_id,complete
2026-08-30,2026-08-30T03:23:27+09:00,26/08/30 03:23時点の避難所状況の一覧です。,2026-08-30T03:23+09:00,web:710404e2616b9e6490cb,710404e2616b9e6490cb,八代市,宮地コミュニティセンター,開設,true,平常,,八代市宮地町383,検索,,,,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,ef88bc29893bb5d74b53142fab01eb39d03f8a8f46e1df1e611737a47cafdadf,"{""ルート検索"": ""検索"", ""住所"": ""八代市宮地町383"", ""市町村"": ""八代市"", ""混雑状況"": ""平常"", ""避難所名"": ""宮地コミュニティセンター"", ""開設状況"": ""開設""}",unmatched,fuzzy_below_threshold,0.793,0,,,,,,,,,,,[],,[],"[{""NO"": ""1238"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市泉町栗木5866"", ""備考"": """", ""共通ID"": ""E4320200081111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""泉コミュニティセンター"", ""経度"": ""130.808105877186"", ""緯度"": ""32.5457986916214""}, {""NO"": ""1224"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市昭和明徴町730-1"", ""備考"": """", ""共通ID"": ""E4320200054111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""昭和コミュニティセンター"", ""経度"": ""130.6036164"", ""緯度"": ""32.55967579""}, {""NO"": ""1258"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市本野町505"", ""備考"": """", ""共通ID"": ""E4320200118111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""高田コミュニティセンター"", ""経度"": ""130.6167216"", ""緯度"": ""32.48708486""}]",reference/43000_1.csv,a04f16cf2e53aec5caadda9c0d925342964483a45870933ec9882c48e957ea60,00000697,200,200,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,portal_shelter_id,1.000,32.499364,130.639846,32.49941316,130.6398492,matched,manual_shelter_id,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c,32.49941316,130.6398492,manual_geocoding,manual_shelter_id,complete
2026-08-30,2026-08-30T03:23:27+09:00,26/08/30 03:23時点の避難所状況の一覧です。,2026-08-30T03:23+09:00,web:8513d22811c260b7b14f,8513d22811c260b7b14f,八代市,宮地東コミュニティセンター,開設,true,---,,熊本県八代市東町5497-1,検索,,,,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,5ce98afc6dc8cda68285e9e7ca855573044473f253985f6106d5941544c2ea12,"{""ルート検索"": ""検索"", ""住所"": ""熊本県八代市東町5497-1"", ""市町村"": ""八代市"", ""混雑状況"": ""---"", ""避難所名"": ""宮地東コミュニティセンター"", ""開設状況"": ""開設""}",unmatched,fuzzy_below_threshold,0.753,0,,,,,,,,,,,[],,[],"[{""NO"": ""1238"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市泉町栗木5866"", ""備考"": """", ""共通ID"": ""E4320200081111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""泉コミュニティセンター"", ""経度"": ""130.808105877186"", ""緯度"": ""32.5457986916214""}]",reference/43000_1.csv,a04f16cf2e53aec5caadda9c0d925342964483a45870933ec9882c48e957ea60,00002245,43,43,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,portal_shelter_id,1.000,32.50628140887411,130.66889762878415,32.50612206,130.668706,matched,manual_shelter_id,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c,32.50612206,130.668706,manual_geocoding,manual_shelter_id,complete
2026-08-30,2026-08-30T03:23:27+09:00,26/08/30 03:23時点の避難所状況の一覧です。,2026-08-30T03:23+09:00,web:a0080c6f1fba23229f56,a0080c6f1fba23229f56,八代市,希望の里たいよう,開設,true,---,,八代市高下西町1704,検索,,,,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,79c27246e7247ef2d11e6bfff6832194667b04afcd0daa9c8aaf061b1781b372,"{""ルート検索"": ""検索"", ""住所"": ""八代市高下西町1704"", ""市町村"": ""八代市"", ""混雑状況"": ""---"", ""避難所名"": ""希望の里たいよう"", ""開設状況"": ""開設""}",unmatched,no_candidate,,0,,,,,,,,,,,[],,[],[],reference/43000_1.csv,a04f16cf2e53aec5caadda9c0d925342964483a45870933ec9882c48e957ea60,00000782,50,50,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,portal_shelter_id,1.000,32.487897,130.609082,,,unmatched,manual_no_match,,,32.487897,130.609082,kumamoto_portal,portal_latitude_longitude,complete
2026-08-30,2026-08-30T03:23:27+09:00,26/08/30 03:23時点の避難所状況の一覧です。,2026-08-30T03:23+09:00,web:4575005230b2c09ac404,4575005230b2c09ac404,八代市,文政小学校,開設,true,---,,八代市鏡町両出1371-1,検索,,,,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,c38a57f13c95a3a55d829eea93396c1e04088dcfb94909ed0b8cb40ebc99faf6,"{""ルート検索"": ""検索"", ""住所"": ""八代市鏡町両出1371-1"", ""市町村"": ""八代市"", ""混雑状況"": ""---"", ""避難所名"": ""文政小学校"", ""開設状況"": ""開設""}",unmatched,no_candidate,,0,,,,,,,,,,,[],,[],[],reference/43000_1.csv,a04f16cf2e53aec5caadda9c0d925342964483a45870933ec9882c48e957ea60,00000768,350,350,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,portal_shelter_id,1.000,32.560698,130.633131,32.56071438,130.6332559,matched,manual_shelter_id,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c,32.56071438,130.6332559,manual_geocoding,manual_shelter_id,complete
