municipality,source_observed_at_jst,source_observed_date,retrieved_at_jst,source_shelter_name,source_address,evacuee_count,shelter_id,match_status,match_method,match_score,source_format,source_page_url,source_document_url,raw_sha256,normalized_sha256,revision,candidate_1_shelter_id,candidate_1_name,candidate_1_address,candidate_1_score,candidate_2_shelter_id,candidate_2_name,candidate_2_address,candidate_2_score
八代市,2026-08-04T18:00+09:00,2026-08-04,2026-08-05T12:38:51+09:00,代陽コミュニティセンター,,100,,unmatched,no_high_confidence_candidate,0.680,pdf,https://www.city.yatsushiro.lg.jp/kiji00326798/index.html,https://www.city.yatsushiro.lg.jp/kiji00326798/3_26798_158013_up_ztym6452.pdf,f678fafca8ab2b19289d050e5a3f38ce8f80926199528e7d20134def9a91175a,68e181bc71fc4a4c7d570803fbf3706ab9c8b5551666a731a31990dca13008bb,1,web:78670aceb0f1a33db766,代陽コミュニティセンター,八代市西松江城町2-18,0.680,web:bb62aded1e4ed62ec037,八代コミュニティセンター,八代市新地町6-3,0.622
八代市,2026-08-04T18:00+09:00,2026-08-04,2026-08-05T12:38:51+09:00,第一中学校,,42,,unmatched,no_high_confidence_candidate,0.680,pdf,https://www.city.yatsushiro.lg.jp/kiji00326798/index.html,https://www.city.yatsushiro.lg.jp/kiji00326798/3_26798_158013_up_ztym6452.pdf,f678fafca8ab2b19289d050e5a3f38ce8f80926199528e7d20134def9a91175a,68e181bc71fc4a4c7d570803fbf3706ab9c8b5551666a731a31990dca13008bb,1,web:3ff88ff210a8c8e57d64,第一中学校,八代市北の丸町1-29,0.680,ref:E4320200116111,八代市立第一中学校,熊本県八代市北の丸町1-29,0.640
八代市,2026-08-04T18:00+09:00,2026-08-04,2026-08-05T12:38:51+09:00,八代コミュニティセンター,,26,,unmatched,no_high_confidence_candidate,0.680,pdf,https://www.city.yatsushiro.lg.jp/kiji00326798/index.html,https://www.city.yatsushiro.lg.jp/kiji00326798/3_26798_158013_up_ztym6452.pdf,f678fafca8ab2b19289d050e5a3f38ce8f80926199528e7d20134def9a91175a,68e181bc71fc4a4c7d570803fbf3706ab9c8b5551666a731a31990dca13008bb,1,web:bb62aded1e4ed62ec037,八代コミュニティセンター,八代市新地町6-3,0.680,web:78670aceb0f1a33db766,代陽コミュニティセンター,八代市西松江城町2-18,0.622
八代市,2026-08-04T18:00+09:00,2026-08-04,2026-08-05T12:38:51+09:00,八代小学校,,80,,unmatched,no_high_confidence_candidate,0.680,pdf,https://www.city.yatsushiro.lg.jp/kiji00326798/index.html,https://www.city.yatsushiro.lg.jp/kiji00326798/3_26798_158013_up_ztym6452.pdf,f678fafca8ab2b19289d050e5a3f38ce8f80926199528e7d20134def9a91175a,68e181bc71fc4a4c7d570803fbf3706ab9c8b5551666a731a31990dca13008bb,1,web:452a87fd3b7d540aee9a,八代小学校,八代市新地町4-1,0.680,ref:E4320200063111,八代市立八代小学校,熊本県八代市新地町4-1,0.640
八代市,2026-08-04T18:00+09:00,2026-08-04,2026-08-05T12:38:51+09:00,八代トヨオカ地建アリーナ(総合体育館),,950,,unmatched,no_high_confidence_candidate,0.680,pdf,https://www.city.yatsushiro.lg.jp/kiji00326798/index.html,https://www.city.yatsushiro.lg.jp/kiji00326798/3_26798_158013_up_ztym6452.pdf,f678fafca8ab2b19289d050e5a3f38ce8f80926199528e7d20134def9a91175a,68e181bc71fc4a4c7d570803fbf3706ab9c8b5551666a731a31990dca13008bb,1,ref:E4320200119111,八代トヨオカ地建アリーナ(総合体育館),八代市緑町11-1,0.680,web:452a87fd3b7d540aee9a,八代小学校,八代市新地町4-1,0.200
八代市,2026-08-04T18:00+09:00,2026-08-04,2026-08-05T12:38:51+09:00,太田郷コミュニティセンター,,120,,unmatched,no_high_confidence_candidate,0.680,pdf,https://www.city.yatsushiro.lg.jp/kiji00326798/index.html,https://www.city.yatsushiro.lg.jp/kiji00326798/3_26798_158013_up_ztym6452.pdf,f678fafca8ab2b19289d050e5a3f38ce8f80926199528e7d20134def9a91175a,68e181bc71fc4a4c7d570803fbf3706ab9c8b5551666a731a31990dca13008bb,1,web:c29df28aaca34a945e9a,太田郷コミュニティセンター,八代市井上町601-1,0.680,ref:E4320200118111,高田コミュニティセンター,八代市本野町505,0.597
八代市,2026-08-04T18:00+09:00,2026-08-04,2026-08-05T12:38:51+09:00,第二中学校,,400,,unmatched,no_high_confidence_candidate,0.680,pdf,https://www.city.yatsushiro.lg.jp/kiji00326798/index.html,https://www.city.yatsushiro.lg.jp/kiji00326798/3_26798_158013_up_ztym6452.pdf,f678fafca8ab2b19289d050e5a3f38ce8f80926199528e7d20134def9a91175a,68e181bc71fc4a4c7d570803fbf3706ab9c8b5551666a731a31990dca13008bb,1,web:6ffd1b1e85b2aafface8,第二中学校,八代市上日置町2248-1,0.680,ref:E4320200056111,八代市立第二中学校,熊本県八代市上日置町2248-1,0.640
八代市,2026-08-04T18:00+09:00,2026-08-04,2026-08-05T12:38:51+09:00,植柳コミュニティセンター,,27,,unmatched,no_high_confidence_candidate,0.680,pdf,https://www.city.yatsushiro.lg.jp/kiji00326798/index.html,https://www.city.yatsushiro.lg.jp/kiji00326798/3_26798_158013_up_ztym6452.pdf,f678fafca8ab2b19289d050e5a3f38ce8f80926199528e7d20134def9a91175a,68e181bc71fc4a4c7d570803fbf3706ab9c8b5551666a731a31990dca13008bb,1,web:0c70f9a6030e3856cae7,植柳コミュニティセンター,八代市植柳下町4251-2,0.680,web:71f2957e68ed27aa29b3,鏡コミュニティセンター,八代市鏡町内田1339-1,0.589
八代市,2026-08-04T18:00+09:00,2026-08-04,2026-08-05T12:38:51+09:00,植柳小学校,,97,,unmatched,no_high_confidence_candidate,0.680,pdf,https://www.city.yatsushiro.lg.jp/kiji00326798/index.html,https://www.city.yatsushiro.lg.jp/kiji00326798/3_26798_158013_up_ztym6452.pdf,f678fafca8ab2b19289d050e5a3f38ce8f80926199528e7d20134def9a91175a,68e181bc71fc4a4c7d570803fbf3706ab9c8b5551666a731a31990dca13008bb,1,web:8798ad523c24fcd66dc7,植柳小学校,八代市植柳上町449,0.680,ref:E4320200061111,八代市立植柳小学校,熊本県八代市植柳上町449,0.640
八代市,2026-08-04T18:00+09:00,2026-08-04,2026-08-05T12:38:51+09:00,麦島コミュニティセンター,,92,,unmatched,no_high_confidence_candidate,0.680,pdf,https://www.city.yatsushiro.lg.jp/kiji00326798/index.html,https://www.city.yatsushiro.lg.jp/kiji00326798/3_26798_158013_up_ztym6452.pdf,f678fafca8ab2b19289d050e5a3f38ce8f80926199528e7d20134def9a91175a,68e181bc71fc4a4c7d570803fbf3706ab9c8b5551666a731a31990dca13008bb,1,ref:E4320200033111,麦島コミュニティセンター,八代市古城町2259,0.680,web:71f2957e68ed27aa29b3,鏡コミュニティセンター,八代市鏡町内田1339-1,0.589
