shelter_id,web_shelter_id,reference_common_id,reference_common_ids,municipality,shelter_name,address,reference_facility_name,reference_address,reference_same_address_as_emergency_site,reference_other_mayor_matters,reference_accepted_persons,reference_latitude,reference_longitude,reference_all_coordinates_json,reference_notes,reference_match_status,reference_match_method,reference_match_score,reference_source_file,reference_source_sha256,portal_shelter_id,portal_capacity_persons,portal_capacity_raw,capacity_source,capacity_acquired_at_jst,capacity_match_status,capacity_match_method,capacity_match_score,portal_latitude,portal_longitude,manual_latitude,manual_longitude,manual_geocode_status,manual_geocode_method,manual_geocode_source_file,manual_geocode_source_sha256,latitude,longitude,coordinate_source,coordinate_method,coordinate_status,2026-07-29,2026-07-30,2026-07-31,2026-08-01,2026-08-02,2026-08-03,2026-08-04,2026-08-05,2026-08-06,2026-08-08,2026-08-09,2026-08-10,2026-08-11,2026-08-12,2026-08-13,2026-08-14,2026-08-15
ref:E4320400025111,e2268977c0dad59483fa,E4320400025111,E4320400025111,,中央小学校,熊本県荒尾4043,中央小学校,熊本県荒尾4043,,,,32.9805055,130.4591432,"[{""共通ID"": ""E4320400025111"", ""経度"": ""130.4591432"", ""緯度"": ""32.9805055""}]",,matched,exact_name_address,1.000,reference/43000_1.csv,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,00002323,100,100,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,portal_shelter_id,1.000,32.98055215324231,130.45917463328806,,,unmatched,manual_no_match,,,32.9805055,130.4591432,gsi_reference,reference_latitude_longitude,complete,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
web:1b11ebfc9830472e8eb5,1b11ebfc9830472e8eb5,,,あさぎり町,あさぎり町ヘルシーランド,あさぎり町上北1874,,,,,,,,[],,unmatched,no_candidate,,reference/43000_1.csv,dd6686fa000c3e720180ba96d02aacff987aec1bba3c9bc69a5867fc0089d10d,00002044,3668,3668,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,portal_shelter_id,1.000,32.217332,130.900221,32.21724352,130.9004991,matched,manual_shelter_id,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c,32.21724352,130.9004991,manual_geocoding,manual_shelter_id,complete,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
web:004f009ef73a81acd8e5,004f009ef73a81acd8e5,,,あさぎり町,せきれい館,あさぎり町深田西955-1,,,,,,,,[],,unmatched,no_candidate,,reference/43000_1.csv,dd6686fa000c3e720180ba96d02aacff987aec1bba3c9bc69a5867fc0089d10d,00002025,1287,1287,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,portal_shelter_id,1.000,32.243895,130.873136,32.2439056,130.8730801,matched,manual_shelter_id,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c,32.2439056,130.8730801,manual_geocoding,manual_shelter_id,complete,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ref:E4351400003121,d3cac1b7b9c518481c1b,E4351400003121,E4351400003121,あさぎり町,ふれあい福祉センター,熊本県あさぎり町岡原北929,ふれあい福祉センター,熊本県あさぎり町岡原北929,,,,32.240124,130.929311,"[{""共通ID"": ""E4351400003121"", ""経度"": ""130.929311"", ""緯度"": ""32.240124""}]",,matched,exact_name_address,1.000,reference/43000_1.csv,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,,,,,,unmatched,no_candidate,,,,,,unmatched,manual_no_match,,,32.240124,130.929311,gsi_reference,reference_latitude_longitude,complete,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ref:E4351400002112,cc98fb4b1fc9b168640f,E4351400002112,E4351400002112,あさぎり町,もみじ館(予備:岡原保健センター),熊本県あさぎり町岡原北904,もみじ館(予備:岡原保健センター),熊本県あさぎり町岡原北904,,,,32.239590193854,130.93188707796,"[{""共通ID"": ""E4351400002112"", ""経度"": ""130.93188707796"", ""緯度"": ""32.239590193854""}]",,matched,exact_name_address,1.000,reference/43000_1.csv,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,,,,,,unmatched,no_candidate,,,,,,unmatched,manual_no_match,,,32.239590193854,130.93188707796,gsi_reference,reference_latitude_longitude,complete,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
web:eebebe302b998b3791fa,eebebe302b998b3791fa,,,あさぎり町,ポッポー館,あさぎり町免田東1482-2,,,,,,,,[],,unmatched,no_candidate,,reference/43000_1.csv,dd6686fa000c3e720180ba96d02aacff987aec1bba3c9bc69a5867fc0089d10d,00002031,1247,1247,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,portal_shelter_id,1.000,32.236421,130.894224,32.23641108,130.8942766,matched,manual_shelter_id,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c,32.23641108,130.8942766,manual_geocoding,manual_shelter_id,complete,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ref:E4351400004111,ba6ef368ae4258c3d710,E4351400004111,E4351400004111,あさぎり町,上総合運動公園体育館(予備:武道場),熊本県あさぎり町上東128-2,上総合運動公園体育館(予備:武道場),熊本県あさぎり町上東128-2,,,,32.221566156341,130.90970751655,"[{""共通ID"": ""E4351400004111"", ""経度"": ""130.90970751655"", ""緯度"": ""32.221566156341""}]",,matched,exact_name_address,1.000,reference/43000_1.csv,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,,,,,,unmatched,fuzzy_below_threshold,0.883,,,,,unmatched,manual_no_match,,,32.221566156341,130.90970751655,gsi_reference,reference_latitude_longitude,complete,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ref:E4351400019111,c4a36b8d6497b30c066e,E4351400019111,E4351400019111,あさぎり町,免田地区体育館(予備:武道場),熊本県あさぎり町免田東1774,免田地区体育館(予備:武道場),熊本県あさぎり町免田東1774,,,,32.234893,130.898965,"[{""共通ID"": ""E4351400019111"", ""経度"": ""130.898965"", ""緯度"": ""32.234893""}]",,matched,exact_name_address,1.000,reference/43000_1.csv,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,,,,,,unmatched,no_candidate,,,,,,unmatched,manual_no_match,,,32.234893,130.898965,gsi_reference,reference_latitude_longitude,complete,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ref:E4351400018111,c4c816be43fe1c22db4a,E4351400018111,E4351400018111,あさぎり町,免田小学校体育館,熊本県あさぎり町免田東1719,免田小学校体育館,熊本県あさぎり町免田東1719,,,,32.235215,130.896114,"[{""共通ID"": ""E4351400018111"", ""経度"": ""130.896114"", ""緯度"": ""32.235215""}]",,matched,exact_name_address,1.000,reference/43000_1.csv,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,,,,,,unmatched,no_candidate,,,,,,unmatched,manual_no_match,,,32.235215,130.896114,gsi_reference,reference_latitude_longitude,complete,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ref:E4351400009111,a2bdacd520bab6a985d5,E4351400009111,E4351400009111,あさぎり町,南稜高校体育館,熊本県あさぎり町上北310,南稜高校体育館,熊本県あさぎり町上北310,,,,32.232361,130.895509,"[{""共通ID"": ""E4351400009111"", ""経度"": ""130.895509"", ""緯度"": ""32.232361""}]",,matched,exact_name_address,1.000,reference/43000_1.csv,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,,,,,,unmatched,no_candidate,,,,,,unmatched,manual_no_match,,,32.232361,130.895509,gsi_reference,reference_latitude_longitude,complete,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
