shelter_id,reference_common_ids,municipality,shelter_name,address,reference_same_address_as_emergency_site,reference_other_mayor_matters,reference_accepted_persons,portal_capacity_persons,latitude,longitude,2026-07-29,2026-07-30,2026-07-31,2026-08-01,2026-08-02,2026-08-03,2026-08-04,2026-08-05,2026-08-06,2026-08-08,2026-08-09,2026-08-10,2026-08-11
ref:E4320400025111,E4320400025111,,中央小学校,熊本県荒尾4043,,,,100,32.9805055,130.4591432,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
web:1b11ebfc9830472e8eb5,,あさぎり町,あさぎり町ヘルシーランド,あさぎり町上北1874,,,,3668,32.21724352,130.9004991,未開設,開設（平常）,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
web:004f009ef73a81acd8e5,,あさぎり町,せきれい館,あさぎり町深田西955-1,,,,1287,32.2439056,130.8730801,未開設,開設（平常）,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4351400003121,E4351400003121,あさぎり町,ふれあい福祉センター,熊本県あさぎり町岡原北929,,,,,32.240124,130.929311,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4351400002112,E4351400002112,あさぎり町,もみじ館(予備:岡原保健センター),熊本県あさぎり町岡原北904,,,,,32.239590193854,130.93188707796,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
web:eebebe302b998b3791fa,,あさぎり町,ポッポー館,あさぎり町免田東1482-2,,,,1247,32.23641108,130.8942766,未開設,開設（平常）,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4351400004111,E4351400004111,あさぎり町,上総合運動公園体育館(予備:武道場),熊本県あさぎり町上東128-2,,,,,32.221566156341,130.90970751655,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4351400019111,E4351400019111,あさぎり町,免田地区体育館(予備:武道場),熊本県あさぎり町免田東1774,,,,,32.234893,130.898965,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4351400018111,E4351400018111,あさぎり町,免田小学校体育館,熊本県あさぎり町免田東1719,,,,,32.235215,130.896114,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4351400009111,E4351400009111,あさぎり町,南稜高校体育館,熊本県あさぎり町上北310,,,,,32.232361,130.895509,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
web:3a8404b0106119c2a485,,あさぎり町,岡原かえで館,あさぎり町岡原北929,,,,2400,32.24013735,130.9294546,未開設,開設（平常）,開設（平常）,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4351400001111,E4351400001111,あさぎり町,岡原小学校体育館,熊本県あさぎり町岡原北1313,,,,,32.237951,130.933561,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4351400013111,E4351400013111,あさぎり町,深田小学校体育館,熊本県あさぎり町深田東787,,,,,32.24468,130.875254,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4351400011111,E4351400011111,あさぎり町,深田高山総合運動公園体育館(予備:定住促進センター),熊本県あさぎり町深田東1404,,,,,32.250474,130.877483,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4351400015111,E4351400015111,あさぎり町,須恵小学校体育館,熊本県あさぎり町須恵1230,,,,5798,32.265961,130.900509,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
web:279a6521403b63e3b4fb,,あさぎり町,須恵文化ホール,熊本県あさぎり町須恵,,,,,32.26668266,130.9002305,未開設,開設（不明）,開設（平常）,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4351400014111,E4351400014111,あさぎり町,須恵文化ホール(予備:研修室・会議室),熊本県あさぎり町須恵1227,,,,,32.266571,130.900365,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4321200028111,E4321200028111,上天草市,上天草高等学校,熊本県上天草市大矢野町中5424,1,,,348,32.567816,130.441669,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
