source_shelter_name,2026-08-05,2026-08-07
代陽コミュニティセンター,83,83
第一中学校,41,40
八代コミュニティセンター,16,22
八代小学校,97,65
八代トヨオカ地建アリーナ（総合体育館）,400,350
太田郷コミュニティセンター,107,107
第二中学校,350,250
植柳コミュニティセンター,27,24
植柳小学校,85,52
麦島コミュニティセンター,92,87
麦島小学校,20,12
松高コミュニティセンター,50,30
松高小学校,72,60
第四中学校,152,132
八千把コミュニティセンター,64,64
高田コミュニティセンター,70,70
第五中学校,108,107
八代市保健センター,26,31
金剛コミュニティセンター,0,0
金剛小学校,0,0
第六中学校,5,6
郡築コミュニティセンター,4,10
第七中学校,15,5
昭和コミュニティセンター,14,14
宮地コミュニティセンター,9,9
宮地東コミュニティセンター,1,1
第八中学校,64,71
龍峯コミュニティセンター,12,7
日奈久コミュニティセンター,51,48
日奈久小学校,100,75
二見コミュニティセンター,20,9
坂本コミュニティセンター,0,0
千丁コミュニティセンター,35,36
鏡コミュニティセンター,93,93
鏡わかあゆ高等支援学校,3,1
鏡小学校,56,61
文政小学校,27,21
有佐小学校,7,14
東陽コミュニティセンター及び東陽スポーツセンター,37,34
八代支援学校,13,20
鏡中学校,36,53
