municipality,source_shelter_name,source_address,shelter_id,note
宇城市,三角防災拠点センター,三角町波多619番地,web:d86e52a30a796c564a94,宇城市HTMLの表記をWeb由来施設へ固定
宇城市,不知火防災拠点センター,不知火町高良2273番地1,web:c49d287f125a11c54dcd,宇城市HTMLの表記をWeb由来施設へ固定
宇城市,不知火体育館,不知火町高良2273番地1,web:73eaa7b5e800fbfeede6,自治体HTMLの同名施設を現在のWeb由来避難所レコードへ固定
宇城市,不知火小学校 2F交流スペース,不知火町高良1952番地,web:f75ce692f58356ed71a7,全角空白と全角数字を正規化
宇城市,松橋東防災拠点センター,松橋町豊福1786番地,web:87a410b68cfb404f6035,宇城市HTMLの表記をWeb由来施設へ固定
宇城市,松橋西防災拠点センター,松橋町松橋564番地2,web:38cdaae343f39d2a3d4e,宇城市HTMLの表記をWeb由来施設へ固定
宇城市,ウイングまつばせ,松橋町大野85番地,ref:E4321300031111,正式施設名は宇城市松橋総合体育文化センター(ウイング松橋)
宇城市,松橋中学校 武道場,松橋町松橋522番地1,web:0673ab4742b0efe949f5,武道場と武道館の表記差
宇城市,小川防災拠点センター,小川町江頭100番地,web:5c8aee7f9d598d2ba1cb,宇城市HTMLの表記をWeb由来施設へ固定
宇城市,小野部田小学校 体育館,小川町南小野1402番地,web:ba087cedee03e98df6c9,体育館表記をWeb由来施設へ固定
宇城市,小川中学校 体育館,小川町南部田287番地2,web:19f5564d5d7694ba6443,体育館表記をWeb由来施設へ固定
宇城市,豊野防災拠点センター,豊野町糸石3140番地3,web:2432a4669e6369817c34,宇城市HTMLの表記をWeb由来施設へ固定
宇城市,旧豊野小学校 体育館,豊野町糸石2998番地,municipal:uki:old_toyono_elementary_gym,宇城市公式資料で確認した独立施設。現行の豊野小・中学校体育館(糸石3536)とは別施設のため自治体公表専用IDで保持
八代市,今晋地区公⺠館,八代市坂本町昕部ろ129番地,web:fb3044a2b79afc80e386,PDF埋込フォントの文字化け・末尾数字欠落を今泉地区公民館へ固定
八代市,今泉地区公民館,八代市坂本町西部ろ1292番地,web:fb3044a2b79afc80e386,正常抽出時の表記も同一施設へ固定
